2026-02-10 22:25:28 | INFO     | Pipeline | Cleaned: /Users/raj.hindocha/Work/systemzero/outputs/processed/bronze
2026-02-10 22:25:28 | INFO     | Pipeline | Cleaned: /Users/raj.hindocha/Work/systemzero/outputs/processed/silver
2026-02-10 22:25:28 | INFO     | Pipeline | Cleaned: /Users/raj.hindocha/Work/systemzero/outputs/processed/gold
2026-02-10 22:25:28 | INFO     | Pipeline | Cleaned: /Users/raj.hindocha/Work/systemzero/outputs/quarantine
2026-02-10 22:25:28 | INFO     | Pipeline | ======================================================================
2026-02-10 22:25:28 | INFO     | Pipeline | MEDALLION PIPELINE
2026-02-10 22:25:28 | INFO     | Pipeline | ======================================================================
2026-02-10 22:25:28 | INFO     | Pipeline | Layers: bronze, silver, gold, graph
2026-02-10 22:25:28 | INFO     | Pipeline | Tech: Polars (Bronze/Silver) → DuckDB SQL (Gold) → SurrealDB (Graph)
2026-02-10 22:25:28 | INFO     | BronzeIngester | ============================================================
2026-02-10 22:25:28 | INFO     | BronzeIngester | BRONZE LAYER: Ingesting raw data
2026-02-10 22:25:28 | INFO     | BronzeIngester | ============================================================
2026-02-10 22:25:28 | INFO     | BronzeIngester | ✓ products: 505 rows
2026-02-10 22:25:28 | INFO     | BronzeIngester | ✓ customers: 1003 rows
2026-02-10 22:25:28 | INFO     | BronzeIngester | ✓ transactions: 5010 rows
2026-02-10 22:25:28 | INFO     | BronzeIngester | ✓ vendors: 10 rows
2026-02-10 22:25:28 | INFO     | BronzeIngester | ✓ invoices: 805 rows
2026-02-10 22:25:28 | INFO     | BronzeIngester | ✓ support_tickets: 20 rows
2026-02-10 22:25:28 | INFO     | BronzeIngester | ✓ reviews: 30 rows
2026-02-10 22:25:28 | INFO     | BronzeIngester | ✓ call_transcripts: 10 rows
2026-02-10 22:25:28 | INFO     | BronzeIngester | Bronze complete: 8/8 sources, 7393 total rows
2026-02-10 22:25:28 | INFO     | SilverProcessor | ============================================================
2026-02-10 22:25:28 | INFO     | SilverProcessor | SILVER LAYER: Cleaning and validating (Polars + Pydantic)
2026-02-10 22:25:28 | INFO     | SilverProcessor | ============================================================
