invoice_id,invoice_number,vendor_id,vendor_name,invoice_date,due_date,payment_terms,po_number,line_item_count,line_items_json,subtotal,tax_rate,tax_amount,shipping_handling,total_amount,currency,payment_status,amount_paid,balance_due,payment_date,payment_method,approved_by,notes,created_at,updated_at,_source_file,_loaded_at
INV-C58F93E9,INV-TECHFLOW-2022-00001,VND-001,TechFlow Electronics,06/09/2024,06/09/2024,NET30,PO-607058,6,"[{""line_number"": 1, ""product_id"": ""PRD-000342"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 477, ""unit_cost"": 346.79, ""line_total"": 165418.83}, {""line_number"": 2, ""product_id"": ""PRD-000246"", ""description"": ""Bulk purchase - Line 2"", ""quantity"": 102, ""unit_cost"": 46.74, ""line_total"": 4767.48}, {""line_number"": 3, ""product_id"": null, ""description"": ""Bulk purchase - Line 3"", ""quantity"": 162, ""unit_cost"": 107.3, ""line_total"": 17382.6}, {""line_number"": 4, ""product_id"": ""PRD-000311"", ""description"": ""Bulk purchase - Line 4"", ""quantity"": 257, ""unit_cost"": 123.14, ""line_total"": 31646.98}, {""line_number"": 5, ""product_id"": ""PRD-000353"", ""description"": ""Bulk purchase - Line 5"", ""quantity"": -121, ""unit_cost"": 393.42, ""line_total"": -47603.82}, {""line_number"": 6, ""product_id"": ""PRD-000348"", ""description"": ""Bulk purchase - Line 6"", ""quantity"": 92, ""unit_cost"": 422.81, ""line_total"": 38898.52}]",210510.59,0.0,0.0,180.92,210691.51,USD,pending,0.0,210691.51,,,procurement@company.com,,2024-09-06T00:00:00,2024-09-27T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-E3555C7D,INV-GLOBGAD-2023-00002,VND-002,Global Gadgets Ltd,2024-10-03,2024-10-03,NET45,PO-336248,4,"[{""line_number"": 1, ""product_id"": ""PRD-000302"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 481, ""unit_cost"": 250.11, ""line_total"": 120302.91}, {""line_number"": 2, ""product_id"": ""PRD-000450"", ""description"": ""Bulk purchase - Line 2"", ""quantity"": 423, ""unit_cost"": 33.34, ""line_total"": 14102.82}, {""line_number"": 3, ""product_id"": ""PRD-000309"", ""description"": ""Bulk purchase - Line 3"", ""quantity"": 448, ""unit_cost"": 13.31, ""line_total"": 5962.88}, {""line_number"": 4, ""product_id"": ""PRD-000397"", ""description"": ""Bulk purchase - Line 4"", ""quantity"": 120, ""unit_cost"": 8.02, ""line_total"": 962.4}]",141331.01,0.1,14133.1,91.79,155555.9,USD,paid,155555.9,0.0,2024-10-09,ach,john.doe@company.com,,2024-10-03T00:00:00,2024-11-21T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-A642CB57,INV-FASHITA-2023-00003,VND-005,FashionFirst Italia,2024-08-02,2024-08-02,NET30,,4,"[{""line_number"": 1, ""product_id"": ""PRD-000014"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 476, ""unit_cost"": 429.9, ""line_total"": 204632.4}, {""line_number"": 2, ""product_id"": ""PRD-000110"", ""description"": ""Bulk purchase - Line 2"", ""quantity"": 235, ""unit_cost"": 194.84, ""line_total"": 45787.4}, {""line_number"": 3, ""product_id"": ""PRD-000176"", ""description"": ""Bulk purchase - Line 3"", ""quantity"": 233, ""unit_cost"": 402.91, ""line_total"": 93878.03}, {""line_number"": 4, ""product_id"": ""PRD-000380"", ""description"": ""Bulk purchase - Line 4"", ""quantity"": 291, ""unit_cost"": 205.11, ""line_total"": 59687.01}]",403984.83999999997,0.1,40398.48,327.53,444710.85,EUR,overdue,260591.68,184119.17,,,procurement@company.com,,2024-08-02T00:00:00,2024-08-05T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-896AFBF7,INV-AUSSPORT-2022-00004,VND-004,Aussie Sports Gear,2023-03-24,24/03/2023,NET30,PO-637004,6,"[{""line_number"": 1, ""product_id"": ""PRD-000077"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 316, ""unit_cost"": 235.22, ""line_total"": 74329.52}, {""line_number"": 2, ""product_id"": ""PRD-000389"", ""description"": ""Bulk purchase - Line 2"", ""quantity"": 160, ""unit_cost"": 209.91, ""line_total"": 33585.6}, {""line_number"": 3, ""product_id"": ""PRD-000248"", ""description"": ""Bulk purchase - Line 3"", ""quantity"": 245, ""unit_cost"": 625.49, ""line_total"": 153245.05}, {""line_number"": 4, ""product_id"": ""PRD-000118"", ""description"": ""Bulk purchase - Line 4"", ""quantity"": 328, ""unit_cost"": 347.96, ""line_total"": 114130.88}, {""line_number"": 5, ""product_id"": ""PRD-000359"", ""description"": ""Bulk purchase - Line 5"", ""quantity"": 55, ""unit_cost"": 116.26, ""line_total"": 6394.3}, {""line_number"": 6, ""product_id"": ""PRD-000388"", ""description"": ""Bulk purchase - Line 6"", ""quantity"": 48, ""unit_cost"": -44.38, ""line_total"": -2130.24}]",379555.11,0.05,18977.76,351.21,398884.08,AUD,pending,0.0,398884.08,,check,,,2023-03-24T00:00:00,2023-04-11T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-FF65CD80,INV-AUSSPORT-2022-00005,VND-004,Aussie Sports Gear,08-16-2024,16/08/2024,NET30,PO-274266,1,"[{""line_number"": 1, ""product_id"": null, ""description"": ""Bulk purchase - Line 1"", ""quantity"": 293, ""unit_cost"": 140.21, ""line_total"": 41081.53}]",41081.53,0.2,8216.31,0.0,49297.84,AUD,pending,0.0,49297.84,,wire_transfer,john.doe@company.com,Quality inspection required,2024-08-16T00:00:00,2024-08-21T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-4D0E57A7,INV-TECHFLOW-2023-00006,VND-001,TechFlow Electronics,2024/08/04,2024-08-04,NET30,PO-339509,7,"[{""line_number"": 1, ""product_id"": ""PRD-000265"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 460, ""unit_cost"": 444.25, ""line_total"": 204355.0}, {""line_number"": 2, ""product_id"": ""PRD-000240"", ""description"": ""Bulk purchase - Line 2"", ""quantity"": 482, ""unit_cost"": 102.22, ""line_total"": 49270.04}, {""line_number"": 3, ""product_id"": ""PRD-000240"", ""description"": ""Bulk purchase - Line 3"", ""quantity"": 390, ""unit_cost"": 102.22, ""line_total"": 39865.8}, {""line_number"": 4, ""product_id"": ""PRD-000164"", ""description"": ""Bulk purchase - Line 4"", ""quantity"": 43, ""unit_cost"": 431.15, ""line_total"": 18539.45}, {""line_number"": 5, ""product_id"": ""PRD-000053"", ""description"": ""Bulk purchase - Line 5"", ""quantity"": 252, ""unit_cost"": 110.24, ""line_total"": 27780.48}, {""line_number"": 6, ""product_id"": ""PRD-000089"", ""description"": ""Bulk purchase - Line 6"", ""quantity"": 255, ""unit_cost"": 352.4, ""line_total"": 89862.0}, {""line_number"": 7, ""product_id"": ""PRD-000005"", ""description"": ""Bulk purchase - Line 7"", ""quantity"": 229, ""unit_cost"": 362.06, ""line_total"": 82911.74}]",512584.51,0.05,25629.23,0.0,538213.74,USD,paid,538213.74,0.0,2024-09-16,,procurement@company.com,Rush order,2024-08-04T00:00:00,2024-09-22T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-2307CC9C,INV-GLOBGAD-2024-00007,VND-002,Global Gadgets Ltd,03-18-2024,2024-03-18,NET45,PO-940107,3,"[{""line_number"": 1, ""product_id"": ""PRD-000192"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 446, ""unit_cost"": 301.82, ""line_total"": 134611.72}, {""line_number"": 2, ""product_id"": ""PRD-000086"", ""description"": ""Bulk purchase - Line 2"", ""quantity"": 393, ""unit_cost"": 17.37, ""line_total"": 6826.41}, {""line_number"": 3, ""product_id"": ""PRD-000273"", ""description"": ""Bulk purchase - Line 3"", ""quantity"": 458, ""unit_cost"": 344.21, ""line_total"": 157648.18}]",299086.31,0.1,29908.63,0.0,328994.94,USD,paid,328994.94,0.0,2024-05-21,ach,,,2024-03-18T00:00:00,2024-03-29T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-57C87084,INV-GLOBGAD-2022-00008,VND-002,Global Gadgets Ltd,2022/08/22,2022-08-22,NET45,PO-797748,3,"[{""line_number"": 1, ""product_id"": ""PRD-000454"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 154, ""unit_cost"": 528.52, ""line_total"": 81392.08}, {""line_number"": 2, ""product_id"": ""PRD-000392"", ""description"": ""Bulk purchase - Line 2"", ""quantity"": -118, ""unit_cost"": 125.4, ""line_total"": -14797.2}, {""line_number"": 3, ""product_id"": ""PRD-000454"", ""description"": ""Bulk purchase - Line 3"", ""quantity"": 121, ""unit_cost"": 528.52, ""line_total"": 63950.92}]",130545.8,0.1,13054.58,446.59,144046.97,USD,paid,144046.97,0.0,2022-09-14,ach,,,2022-08-22T00:00:00,2022-09-24T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-B5CAE17E,INV-AUSSPORT-2022-00009,VND-004,Aussie Sports Gear,05/04/2024,05/04/2024,NET30,PO-863788,3,"[{""line_number"": 1, ""product_id"": ""PRD-000045"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 314, ""unit_cost"": 27.28, ""line_total"": 8565.92}, {""line_number"": 2, ""product_id"": ""PRD-000359"", ""description"": ""Bulk purchase - Line 2"", ""quantity"": 476, ""unit_cost"": 116.26, ""line_total"": 55339.76}, {""line_number"": 3, ""product_id"": ""PRD-000394"", ""description"": ""Bulk purchase - Line 3"", ""quantity"": 188, ""unit_cost"": 360.16, ""line_total"": 67710.08}]",131615.76,0.07,9213.1,493.8,141322.66,AUD,overdue,67105.17,74217.49,,wire_transfer,,,2024-04-05T00:00:00,2024-05-15T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
INV-62FE7927,INV-NORDHOME-2022-00010,VND-003,Nordic Home Essentials,09-29-2022,29/09/2022,NET30,PO-315349,1,"[{""line_number"": 1, ""product_id"": ""PRD-000463"", ""description"": ""Bulk purchase - Line 1"", ""quantity"": 245, ""unit_cost"": 44.97, ""line_total"": 11017.65}]",11017.65,0.21,2313.71,187.01,13518.37,EUR,pending,0.0,13518.37,,ach,procurement@company.com,,2022-09-29T00:00:00,2022-11-05T00:00:00,invoices.csv,2026-02-10T22:33:04.850936
