ticket_id,customer_id,product_id,channel,category,priority,status,created_at,resolved_at,agent_id,satisfaction_score,transcript,summary,tags,resolution_type,_source_file,_loaded_at
TKT-000001,CUS-00000001,PRD-000012,phone,product_issue,high,resolved,2025-03-15T09:23:45,2025-03-15T10:45:12,AGT-005,4,"Agent: Thank you for calling TechStore support, my name is Sarah. How can I help you today?

Customer: Hi Sarah, I purchased a mechanical keyboard last week and some of the keys are not working properly.

Agent: I'm sorry to hear that. Can you please provide your order number?

Customer: Yes, it's ORD-2025-78432.

Agent: Thank you. I can see your order for the Modern Mechanical Keyboard. Which keys are giving you trouble?

Customer: The 'A' and 'S' keys sometimes don't register when I press them.

Agent: I understand how frustrating that must be. Since this is a defect, I can offer you a replacement or a full refund. Which would you prefer?

Customer: A replacement would be great.

Agent: Perfect. I've initiated a replacement order. You'll receive a shipping label via email within 24 hours to return the defective unit. The new keyboard will ship as soon as we receive the return.

Customer: Thank you so much for the quick resolution!

Agent: You're welcome! Is there anything else I can help you with today?

Customer: No, that's all. Thanks again.

Agent: Have a great day!",Customer reported defective mechanical keyboard with non-responsive keys. Replacement initiated.,"[""defect"", ""replacement"", ""keyboard""]",replacement,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000002,CUS-00000015,,chat,billing,medium,resolved,2025-03-16T14:30:00,2025-03-16T14:52:33,AGT-003,5,"Customer: Hi, I was charged twice for my last order

Agent: Hello! I apologize for the inconvenience. Let me look into this for you. Could you provide your email address?

Customer: sure, it's james.wilson@email.com

Agent: Thank you. I can see there was indeed a duplicate charge on March 14th. I'm initiating a refund for the duplicate amount of $156.99 right now.

Customer: how long will it take?

Agent: The refund will be processed within 3-5 business days and will appear on your original payment method.

Customer: ok thanks

Agent: You're welcome! I've also added a 10% discount code SORRY10 to your account for the inconvenience. Is there anything else I can help with?

Customer: no thats all

Agent: Have a great day!",Double charge issue resolved with refund and courtesy discount.,"[""billing"", ""refund"", ""duplicate_charge""]",refund,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000003,CUS-00000023,PRD-000045,email,shipping,low,closed,2025-03-17T08:15:22,2025-03-18T11:30:00,AGT-001,3,"From: customer@example.com
To: support@techstore.com
Subject: Where is my order?

Hi,

I placed an order 5 days ago and still haven't received any shipping updates. Order number is ORD-2025-81234.

Please advise.

Thanks,
Mike

---

From: support@techstore.com
To: customer@example.com
Subject: RE: Where is my order?

Hi Mike,

Thank you for reaching out. I checked your order and it shows it was shipped on March 15th via FedEx. The tracking number is 789456123012.

According to the tracking, there was a delay at the regional sorting facility due to weather conditions. The estimated delivery is now March 19th.

I apologize for the delay. Please let me know if you don't receive it by then.

Best regards,
Tom
Customer Support

---

From: customer@example.com
To: support@techstore.com
Subject: RE: RE: Where is my order?

Ok thanks for the update. I'll wait.",Shipping delay inquiry - weather-related delay at FedEx facility.,"[""shipping"", ""delay"", ""tracking""]",information_provided,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000004,CUS-00000042,PRD-000089,phone,return,medium,resolved,2025-03-18T16:45:00,2025-03-18T17:12:45,AGT-007,,"Agent: TechStore support, this is David. How may I assist you?

Customer: I need to return a product. It's not what I expected.

Agent: Of course, I can help with that. May I have your order number?

Customer: ORD-2025-82567

Agent: Thank you. I see you ordered the Ultra Travel Guide. May I ask what wasn't as expected?

Customer: The book is in German, but I ordered the English version.

Agent: Oh, I apologize for that mistake. You're absolutely right - your order shows English but we shipped the German edition. I'll send you the correct English version right away at no additional cost, and you don't need to return the German one.

Customer: Really? That's very kind.

Agent: It's the least we can do for our mistake. You should receive the correct book within 3-4 business days.

Customer: Thank you so much!

Agent: You're welcome. Is there anything else?

Customer: No, that's perfect.",Wrong language book shipped. Correct version sent free of charge.,"[""wrong_item"", ""book"", ""language""]",replacement,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000005,CUS-00000008,PRD-000156,chat,product_inquiry,low,closed,2025-03-19T11:20:15,2025-03-19T11:35:42,AGT-002,5,"Customer: Is the Smart Fitness Watch waterproof?

Agent: Hi! Great question. The Smart Fitness Watch has an IP68 rating, which means it's water-resistant up to 1.5 meters for 30 minutes. It's perfect for swimming and showering, but not recommended for diving or high-pressure water activities.

Customer: Can I track swimming with it?

Agent: Yes! It has a dedicated swim tracking mode that records laps, stroke type, and calories burned. It works in both pools and open water.

Customer: That's exactly what I needed. One more question - does it work with iPhone?

Agent: Absolutely! It's compatible with both iOS (iPhone 8 and newer) and Android devices. The companion app is available on both the App Store and Google Play.

Customer: Perfect, I'll order one now. Thanks!

Agent: Wonderful! Let me know if you have any other questions. Enjoy your new watch!",Pre-purchase inquiry about fitness watch waterproofing and compatibility.,"[""pre_sale"", ""fitness_watch"", ""compatibility""]",information_provided,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000006,CUS-00000099,PRD-000023,phone,complaint,urgent,escalated,2025-03-20T09:00:00,,AGT-005,1,"Agent: Thank you for calling TechStore, my name is Sarah. How can I help?

Customer: This is the third time I'm calling about the same issue! I've been waiting for my refund for over two weeks now!

Agent: I sincerely apologize for the frustration. Let me pull up your account. Can you provide your email?

Customer: It's angry.customer99@email.com. I've already explained this twice before!

Agent: I understand, and I'm truly sorry you've had to repeat yourself. I see the notes from your previous calls... It looks like the refund was initiated but failed due to an issue with the payment processor. This should have been escalated.

Customer: I've been told 'it's being processed' every single time. I want to speak to a manager.

Agent: Absolutely, I completely understand. I'm going to escalate this to our finance team supervisor right now. They will call you back within 2 hours with a resolution. I'm also noting this as urgent priority.

Customer: Fine. But if I don't hear back, I'm disputing this with my credit card company.

Agent: That's completely within your rights. I've flagged this with the highest priority. You will receive a call from our supervisor, Jennifer, before 11 AM today.

Customer: Okay.

Agent: Again, I apologize for this experience. Is there anything else?

Customer: No. Just fix this.",Escalated complaint - refund delayed for 2+ weeks. Customer threatening chargeback. Requires supervisor callback.,"[""escalation"", ""refund"", ""complaint"", ""urgent""]",escalated,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000007,CUS-00000156,PRD-000078,chat,technical_support,medium,resolved,2025-03-20T14:22:33,2025-03-20T14:58:17,AGT-004,4,"Customer: my bluetooth speaker wont connect to my phone

Agent: Hi! I'd be happy to help you troubleshoot. What phone are you using?

Customer: iphone 14

Agent: Great. Let's try a few things:
1. First, turn off the speaker and turn it back on
2. On your iPhone, go to Settings > Bluetooth and see if 'TechStore BT Speaker' appears

Customer: it shows up but says ""not connected""

Agent: Okay, tap on the 'i' icon next to it and select 'Forget This Device'. Then let's re-pair it.

Customer: done

Agent: Now, put the speaker in pairing mode by holding the power button for 5 seconds until you hear a beep and the LED flashes blue.

Customer: ok its flashing

Agent: Go back to Bluetooth settings on your iPhone. Do you see 'TechStore BT Speaker' in the available devices?

Customer: yes! its connecting now... it worked!

Agent: Excellent! Sometimes Bluetooth connections can get corrupted and need to be reset. If this happens again, just repeat the 'Forget Device' process.

Customer: thanks so much for your help

Agent: You're welcome! Enjoy your music!",Bluetooth pairing issue resolved by forgetting and re-pairing device.,"[""bluetooth"", ""connectivity"", ""troubleshooting""]",technical_resolution,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000008,CUS-00000203,PRD-000234,email,warranty,medium,pending,2025-03-21T10:00:00,,AGT-006,,"From: warranty.claim@customer.com
To: support@techstore.com
Subject: Warranty Claim - Laptop Screen Issue

Hello,

My laptop screen has developed dead pixels after 8 months of use. The laptop is still under warranty (purchased June 2024).

Order: ORD-2024-45678
Product: ProBook Laptop 15""
Issue: Multiple dead pixels appearing on screen

I've attached photos showing the issue.

Please advise on the warranty claim process.

Regards,
Emily Chen

---

From: support@techstore.com
To: warranty.claim@customer.com
Subject: RE: Warranty Claim - Laptop Screen Issue

Dear Emily,

Thank you for contacting us regarding your warranty claim.

I've reviewed the photos and confirmed your laptop is within the 1-year warranty period. Dead pixels are covered under our warranty policy.

To proceed, we need to:
1. Have you ship the laptop to our service center
2. Our technicians will assess and repair/replace the screen
3. Return the laptop within 7-10 business days

I'm generating a prepaid shipping label for you now. You'll receive it via email within 24 hours.

Please back up your data before shipping.

Best regards,
Maria
Warranty Department",Warranty claim for laptop dead pixels - within warranty period. Awaiting customer shipment.,"[""warranty"", ""laptop"", ""screen"", ""dead_pixels""]",pending_repair,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000009,INVALID_ID,PRD-000001,phone,product_issue,HIGH,resolved,20-03-2025,2025-03-20T16:30:00,AGT-001,6,"Agent: TechStore support, how can I help?

Customer: I bought a speaker but the battery only lasts 2 hours instead of the advertised 10 hours.

Agent: I apologize for that. Can I have your order details?

Customer: Order ORD-2025-90123

Agent: Let me check... I see the Compact Bluetooth Speaker. This could be a battery defect. Have you tried a full charge cycle - letting it drain completely and then charging to 100%?

Customer: Yes, twice.

Agent: In that case, this sounds like a defective unit. I can send you a replacement with a fresh battery. Would that work?

Customer: Yes please.

Agent: Done. You'll get shipping info by email. Keep the defective unit until the new one arrives, then use the included label to return it.

Customer: Great, thank you.",Battery defect in bluetooth speaker - replacement sent.,"[""battery"", ""defect"", ""speaker""]",replacement,support_tickets.json,2026-02-10T22:25:28.068809
TKT-000010,CUS-00000321,PRD-000456,CHAT,order_status,low,Resolved,2025-03-22T08:45:00,2025-03-22T08:52:15,AGT-003,5,"Customer: Can you check if my order has shipped? ORD-2025-91456

Agent: Of course! Let me look that up... Your order shipped yesterday and is currently in transit. Expected delivery is March 24th.

Customer: Perfect, thanks!

Agent: You're welcome! You can also track it using this link: [tracking link]. Have a great day!",Order status inquiry - confirmed shipped with delivery date.,"[""order_status"", ""shipping""]",information_provided,support_tickets.json,2026-02-10T22:25:28.068809
