transaction_id,order_id,customer_id,product_id,transaction_date,transaction_timestamp,quantity,unit_price,subtotal,discount_percent,discount_amount,tax_rate,tax_amount,shipping_cost,total_amount,currency,payment_method,payment_status,order_status,shipping_method,channel,region,is_gift,notes,_source_file,_loaded_at
TXN-CB40A5B1,ORD-0000000001,CUS-00000159,PRD-000148,2023-11-03 00:00:00,2023-11-03T00:00:00,10,10.27,102.7,0.0,0.0,0.08,8.22,21.75,132.67000000000002,USD,debit_card,paid,completed,pickup,web,North America,True,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-276C56B7,ORD-0000000002,CUS-00000654,PRD-000174,2022-03-30 00:00:00,2022-03-30T00:00:00,8,142.74,1141.92,15.0,171.29,0.0,0.0,11.33,981.96,USD,paypal,paid,cancelled,standard,phone,Latin America,1,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-D1EF9CAD,ORD-0000000003,CUS-00000918,PRD-000443,2022-10-05,2022-10-05T00:00:00,-4,163.69,654.76,0.0,0.0,0.07,45.83,-16.91,-717.5,USD,crypto,pending,pending,overnight,web,Middle East,false,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-A1E8A8F8,ORD-0000000004,CUS-00000124,PRD-000411,2023-04-16 00:00:00,2023-04-16T00:00:00,1,647.4,647.4,5.0,32.37,0.0,0.0,-21.4,593.63,USD,paypal,pending,completed,express,phone,Europe,True,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-16F002F0,ORD-0000000005,CUS-00000729,PRD-000302,2024-10-18 00:00:00,2024-10-18T00:00:00,5,540.54,2702.7,0.0,0.0,0.1,270.27,14.13,2987.1,USD,debit_card,pending,completed,,mobile,Latin America,0,Fragile,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-B1CC50FD,ORD-0000000006,CUS-00000929,PRD-000276,2022-03-21 00:00:00,2022-03-21T00:00:00,10,557.37,5573.7,0.0,0.0,0.2,1114.74,0.78,6689.219999999999,USD,crypto,refunded,pending,standard,mobile,Middle East,True,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-F3244CFB,ORD-0000000007,CUS-00000593,PRD-000035,2024-04-13 00:00:00,2024-04-13T00:00:00,9,756.6,6809.4,20.0,1361.88,0.2,1089.5,20.48,6557.5,USD,crypto,paid,completed,,store,North America,True,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-FAB941E5,ORD-0000000008,CUS-00000270,PRD-000353,2022-07-29,2022-07-29T00:00:00,3,907.77,2723.31,5.0,136.17,0.0,0.0,18.67,2605.81,USD,paypal,failed,completed,express,web,Europe,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-FB522227,ORD-0000000009,CUS-00000487,PRD-000487,2023-12-06T00:00:00,2023-12-06T00:00:00,8,642.2,5137.6,0.0,0.0,0.0,0.0,4.2,5141.8,USD,cash_on_delivery,pending,pending,standard,web,Asia Pacific,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-46293725,ORD-0000000010,CUS-00000746,PRD-000204,2024-06-18T00:00:00,2024-06-18T00:00:00,9,440.31,3962.79,15.0,594.42,0.1,336.84,11.02,3716.23,USD,crypto,failed,delivered,standard,store,Europe,1,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-6872AFD3,ORD-0000000011,CUS-00000976,PRD-000208,2024-02-20T00:00:00,2024-02-20T00:00:00,8,701.06,5608.48,0.0,0.0,0.1,560.85,5.81,6175.14,USD,bank_transfer,refunded,completed,pickup,store,Latin America,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-0AD9ABD3,ORD-0000000012,CUS-00000579,PRD-000048,2022-01-05,2022-01-05T00:00:00,4,368.2,1472.8,5.0,73.64,0.1,139.92,24.74,1563.82,USD,credit_card,paid,completed,pickup,phone,Middle East,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-46C6CF25,ORD-0000000013,CUS-00000120,PRD-000440,2024-09-19,2024-09-19T00:00:00,7,590.99,4136.93,0.0,0.0,0.1,413.69,1.19,4551.8099999999995,USD,paypal,paid,refunded,standard,partner,Europe,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-E64C9149,ORD-0000000014,CUS-00000154,PRD-000085,2023-08-04 00:00:00,2023-08-04T00:00:00,5,584.7,2923.5,15.0,438.52,0.2,497.0,22.8,3004.78,USD,crypto,refunded,completed,overnight,store,Latin America,1,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-B89FACB8,ORD-0000000015,CUS-00000471,PRD-000485,2023-06-19,2023-06-19T00:00:00,1,653.66,653.66,20.0,130.73,0.08,41.83,0.14,564.9,USD,debit_card,refunded,delivered,,partner,Europe,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-2282F64A,ORD-0000000016,CUS-00000088,PRD-000432,2024-10-05T00:00:00,2024-10-05T00:00:00,10,121.7,1217.0,5.0,60.85,0.0,0.0,19.29,1175.44,USD,credit_card,pending,refunded,standard,mobile,North America,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-2FD9338D,ORD-0000000017,CUS-00000223,PRD-000166,2022-12-21 00:00:00,2022-12-21T00:00:00,9,993.47,8941.23,0.0,0.0,0.0,0.0,9.72,8950.949999999999,USD,cash_on_delivery,paid,pending,express,store,Latin America,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-99B1DB83,ORD-0000000018,CUS-00000792,PRD-000268,2023-06-05T00:00:00,2023-06-05T00:00:00,8,603.75,4830.0,0.0,0.0,0.1,483.0,21.67,5334.67,usd,debit_card,paid,completed,overnight,mobile,Europe,True,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-8E065069,ORD-0000000019,CUS-00000072,PRD-000286,2024-05-07,2024-05-07T00:00:00,2,762.71,1525.42,20.0,305.08,0.2,244.07,19.97,1484.38,USD,credit_card,pending,completed,pickup,mobile,Middle East,1,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-39F64AA5,ORD-0000000020,CUS-00000630,PRD-000323,2022-08-19T00:00:00,2022-08-19T00:00:00,6,919.95,5519.7,10.0,551.97,0.1,496.77,16.33,5480.83,USD,bank_transfer,refunded,completed,,store,Asia Pacific,True,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-98962ABE,ORD-0000000021,CUS-00000003,PRD-000269,2023-06-22T00:00:00,2023-06-22T00:00:00,10,559.13,5591.3,15.0,838.7,0.0,0.0,23.4,4776.0,USD,paypal,pending,processing,standard,web,North America,false,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-A62B2ECE,ORD-0000000022,CUS-00000179,PRD-000290,2023-10-20,2023-10-20T00:00:00,10,456.14,4561.4,15.0,684.21,0.08,310.18,22.73,4210.099999999999,USD,cash_on_delivery,paid,completed,express,phone,Europe,true,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-2F6ECFF0,ORD-0000000023,CUS-00000293,PRD-000357,2023-10-12 00:00:00,2023-10-12T00:00:00,6,464.88,2789.28,0.0,0.0,0.08,223.14,8.26,3020.6800000000003,USD,bank_transfer,pending,pending,,phone,Latin America,1,,sales_transactions.parquet,2026-02-10T22:25:28.068809
TXN-0EFE0C77,ORD-0000000024,CUS-INVALID-57,PRD-000298,2023-01-06,2023-01-06T00:00:00,2,653.59,1307.18,20.0,261.44,0.08,83.66,12.07,1141.47,USD,crypto,paid,cancelled,express,phone,Europe,False,,sales_transactions.parquet,2026-02-10T22:25:28.068809
