invoice_id,line_number,product_id,description,quantity,unit_cost,line_total,source_file,loaded_at
INV-C58F93E9,1,PRD-000342,Bulk purchase - Line 1,477,346.79,165418.83,invoices.csv,2026-02-10T22:25:28.068809
INV-C58F93E9,2,PRD-000246,Bulk purchase - Line 2,102,46.74,4767.48,invoices.csv,2026-02-10T22:25:28.068809
INV-C58F93E9,3,,Bulk purchase - Line 3,162,107.3,17382.6,invoices.csv,2026-02-10T22:25:28.068809
INV-C58F93E9,4,PRD-000311,Bulk purchase - Line 4,257,123.14,31646.98,invoices.csv,2026-02-10T22:25:28.068809
INV-C58F93E9,5,PRD-000353,Bulk purchase - Line 5,-121,393.42,-47603.82,invoices.csv,2026-02-10T22:25:28.068809
INV-C58F93E9,6,PRD-000348,Bulk purchase - Line 6,92,422.81,38898.52,invoices.csv,2026-02-10T22:25:28.068809
INV-E3555C7D,1,PRD-000302,Bulk purchase - Line 1,481,250.11,120302.91,invoices.csv,2026-02-10T22:25:28.068809
INV-E3555C7D,2,PRD-000450,Bulk purchase - Line 2,423,33.34,14102.82,invoices.csv,2026-02-10T22:25:28.068809
INV-E3555C7D,3,PRD-000309,Bulk purchase - Line 3,448,13.31,5962.88,invoices.csv,2026-02-10T22:25:28.068809
INV-E3555C7D,4,PRD-000397,Bulk purchase - Line 4,120,8.02,962.4,invoices.csv,2026-02-10T22:25:28.068809
INV-A642CB57,1,PRD-000014,Bulk purchase - Line 1,476,429.9,204632.4,invoices.csv,2026-02-10T22:25:28.068809
INV-A642CB57,2,PRD-000110,Bulk purchase - Line 2,235,194.84,45787.4,invoices.csv,2026-02-10T22:25:28.068809
INV-A642CB57,3,PRD-000176,Bulk purchase - Line 3,233,402.91,93878.03,invoices.csv,2026-02-10T22:25:28.068809
INV-A642CB57,4,PRD-000380,Bulk purchase - Line 4,291,205.11,59687.01,invoices.csv,2026-02-10T22:25:28.068809
INV-896AFBF7,1,PRD-000077,Bulk purchase - Line 1,316,235.22,74329.52,invoices.csv,2026-02-10T22:25:28.068809
INV-896AFBF7,2,PRD-000389,Bulk purchase - Line 2,160,209.91,33585.6,invoices.csv,2026-02-10T22:25:28.068809
INV-896AFBF7,3,PRD-000248,Bulk purchase - Line 3,245,625.49,153245.05,invoices.csv,2026-02-10T22:25:28.068809
INV-896AFBF7,4,PRD-000118,Bulk purchase - Line 4,328,347.96,114130.88,invoices.csv,2026-02-10T22:25:28.068809
