invoice_id,vendor_id,invoice_number,invoice_date,due_date,payment_date,po_number,subtotal,tax_rate,tax_amount,shipping_handling,amount_paid,balance_due,total_amount,vendor_name,currency,payment_status,payment_method,payment_terms,approved_by,notes,created_at,updated_at,source_file,loaded_at
INV-BBB4DB8B,VND-001,INV-TECHFLOW-2024-00197,2023-08-16,2023-08-16,,PO-777129,19150.86,0.08,1532.07,153.51,1760.4,19681.71,21442.11,TechFlow Electronics,USD,overdue,credit_card,NET30,procurement@company.com,,2023-08-16,2023-10-12,invoices.csv,2026-02-10T22:25:28.068809
INV-4FA3F01C,VND-004,INV-AUSSPORT-2024-00305,2024-01-20,2024-01-20,,PO-493242,303617.09,0.08,24289.37,0.0,229393.03,98513.43,327906.46,Aussie Sports Gear,AUD,disputed,credit_card,NET30,,,2024-01-20,2024-02-15,invoices.csv,2026-02-10T22:25:28.068809
INV-4A3A293B,VND-001,INV-TECHFLOW-2024-00761,2023-05-22,2023-05-22,,PO-561686,676201.47,0.07,47334.1,318.32,0.0,723853.89,723853.89,TechFlow Electronics,USD,pending,,NET30,procurement@company.com,,2023-05-22,2023-07-14,invoices.csv,2026-02-10T22:25:28.068809
INV-BEBF9C44,VND-008,INV-BEAUTYBL-2023-00413,2023-09-04,2023-09-04,,PO-936948,234075.21,0.05,11703.76,384.29,0.0,246163.26,246163.26,BeautyBliss Cosmetics,EUR,pending,credit_card,NET30,jane.smith@company.com,,2023-09-04,2023-10-22,invoices.csv,2026-02-10T22:25:28.068809
INV-3DD2E785,VND-002,INV-GLOBGAD-2023-00412,2023-07-06,2023-06-07,,PO-801033,1448.0,0.05,72.4,116.06,1588.03,48.43,1636.46,Global Gadgets Ltd,USD,disputed,check,NET45,,,2023-06-07,2023-07-30,invoices.csv,2026-02-10T22:25:28.068809
INV-2E1DF42A,VND-004,INV-AUSSPORT-2024-00722,2024-10-23,2024-10-23,,PO-118591,442827.04000000004,0.0,0.0,413.59,167957.13,275283.5,443240.63,Aussie Sports Gear,AUD,overdue,credit_card,NET30,john.doe@company.com,,2024-10-23,2024-11-26,invoices.csv,2026-02-10T22:25:28.068809
INV-FAFBDE33,VND-004,INV-AUSSPORT-2024-00725,2024-03-26,2024-03-26,,PO-295182,-1672.17,0.2,-334.43,147.13,-1044.42,-815.05,-1859.47,Aussie Sports Gear,AUD,disputed,credit_card,NET30,jane.smith@company.com,Price negotiated,2024-03-26,2024-05-10,invoices.csv,2026-02-10T22:25:28.068809
INV-DF9F13EC,VND-007,INV-MAPLETOY-2022-00177,2022-10-26,2022-10-26,2022-11-09,PO-905016,33054.91,0.08,2644.39,0.0,16206.88,19492.42,35699.3,MapleCraft Toys,CAD,partial,ach,NET30,procurement@company.com,,2022-10-26,2022-10-29,invoices.csv,2026-02-10T22:25:28.068809
INV-65AC07F0,VND-005,INV-FASHITA-2024-00534,2023-07-08,2023-08-07,2023-08-18,PO-303992,302192.57,0.1,30219.26,0.0,332411.83,0.0,332411.83,FashionFirst Italia,EUR,paid,ach,NET30,,,2023-08-07,2023-09-20,invoices.csv,2026-02-10T22:25:28.068809
INV-69B56962,VND-008,INV-BEAUTYBL-2024-00782,2023-10-08,2023-08-10,2023-10-27,PO-880889,227821.91999999998,0.08,18225.75,449.38,246497.05,0.0,246497.05,BeautyBliss Cosmetics,USD,paid,wire_transfer,NET30,procurement@company.com,,2023-10-08,2023-10-28,invoices.csv,2026-02-10T22:25:28.068809
