transaction_id,order_id,customer_id,product_id,transaction_date,transaction_timestamp,quantity,unit_price,subtotal,tax_amount,tax_rate,shipping_cost,discount_amount,discount_percent,total_amount,is_gift,notes,payment_status,payment_method,shipping_method,channel,region,order_status,source_file,loaded_at
TXN-91F7A2EF,ORD-0000000933,CUS-00000891,PRD-000154,2023-07-12,2023-07-12,2,206.96,413.92,39.32,0.1,13.92,20.7,5.0,446.46000000000004,true,,paid,crypto,standard,phone,Latin America,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-5F9F6393,ORD-0000001484,CUS-00000829,PRD-000421,2022-07-31,2022-07-31,4,537.03,2148.12,429.62,0.2,18.12,0.0,0.0,2595.8599999999997,true,,failed,crypto,overnight,mobile,Latin America,CANCELLED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-C62F9683,ORD-0000002022,CUS-00000851,PRD-000198,2023-01-01,2023-01-01,5,82.18,410.9,30.82,0.1,13.69,102.72,25.0,352.69,true,,failed,paypal,standard,partner,Latin America,REFUNDED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-202A9FB5,ORD-0000003236,CUS-00000771,PRD-000179,2024-12-23,2024-12-23,2,117.79,235.58,0.0,0.0,3.83,0.0,0.0,239.41000000000003,false,,pending,crypto,pickup,web,Asia Pacific,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-9625C087,ORD-0000002492,CUS-00000917,PRD-000436,2024-04-27,2024-04-27,1,25.76,25.76,1.16,0.05,17.67,2.58,10.0,42.010000000000005,false,,pending,cash_on_delivery,,store,North America,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-D350B6A7,ORD-0000003688,CUS-00000424,PRD-000166,2023-12-10,2023-12-10,5,993.47,4967.35,471.9,0.1,10.53,248.37,5.0,5201.41,true,,paid,bank_transfer,standard,web,Europe,PROCESSING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-B7A5FF0E,ORD-0000003968,CUS-00000756,PRD-000352,2024-07-20,2024-07-20,9,257.51,2317.59,146.01,0.07,11.98,231.76,10.0,2243.82,false,,refunded,credit_card,express,web,Asia Pacific,DELIVERED,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-79870F5F,ORD-0000002417,CUS-00000232,PRD-000317,2024-01-27,2024-01-27,2,828.29,1656.58,140.81,0.1,9.87,248.49,15.0,1558.77,false,,pending,cash_on_delivery,overnight,partner,Europe,PENDING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-6E54FDD6,ORD-0000001912,CUS-00000692,PRD-000077,2022-05-25,2022-05-25,6,461.44,2768.64,263.02,0.1,18.26,138.43,5.0,2911.4900000000002,false,,failed,crypto,,web,North America,PENDING,sales_transactions.parquet,2026-02-10T22:33:04.850936
TXN-6E801A53,ORD-0000000215,CUS-00000328,PRD-000085,2023-08-31,2023-08-31,8,584.7,4677.6,748.42,0.2,12.19,935.52,20.0,4502.69,true,,refunded,credit_card,express,store,Middle East,SHIPPED,sales_transactions.parquet,2026-02-10T22:33:04.850936
